generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106348,G106348,coal5,inside_lvliang,Coal,2030,2129.08608,972992.3385600001,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2035,2129.08608,972992.3385600001,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2025,2129.0860800000005,972992.3385600003,2051688.2653681925,300.0,12558316.246596768,3180000.0,7.849052578069912,0.8096000000000002
G106349,G106349,coal6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2035,2129.0860800000005,972992.3385600003,2051688.2653681925,300.0,12558316.246596768,3180000.0,7.849052578069912,0.8096000000000002
G106470,G106470,coal3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G109041,G109041,coal1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2025,2129.08608,972992.3385600001,1982934.540221184,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2035,2129.08608,972992.3385600001,1982934.540221184,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G111092,G111092,coal16,inside_lvliang,Coal,2025,1601.3989833779265,731839.3354037123,1491470.629884152,350.0,14651368.954362897,3710000.0,11.922830280241696,0.5219513651373575
G111092,G111092,coal16,inside_lvliang,Coal,2030,1616.996299819582,738967.3090175488,1505997.2654192063,350.0,14651368.954362897,3710000.0,11.812232511299865,0.5270350705060401
G111092,G111092,coal16,inside_lvliang,Coal,2035,1616.996299819582,738967.3090175488,1505997.2654192063,350.0,14651368.954362897,3710000.0,11.812232511299865,0.5270350705060401
G111093,G111093,coal17,inside_lvliang,Coal,2025,1874.588895108005,856687.1250643581,1745907.3654855364,350.0,14651368.954362897,3710000.0,10.25187769413304,0.6109934145262557
G111093,G111093,coal17,inside_lvliang,Coal,2030,1896.6599367326935,866773.5910868407,1766463.3360436899,350.0,14651368.954362897,3710000.0,10.137896716779581,0.6181871310363722
G111093,G111093,coal17,inside_lvliang,Coal,2035,1896.6599367326935,866773.5910868407,1766463.3360436899,350.0,14651368.954362897,3710000.0,10.137896716779581,0.6181871310363722
G112778,G112778,coal14,inside_lvliang,Coal,2020,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
