timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
202001011,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,89.1363,40.2885,0,0.0510199,86.6893,0,89.2892,0.0509958,0,44.0756,0,0,0,2.64975,0,0,0,0,0,0,0,29.6312
202001012,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,103.224,0,0.0597138,0,186.363,34.2151,102.611,0.0587566,24.9898,0,10.9567,0,0,2.7802,2.90868,0,6.96284,59.9007,25.6814,0,26.2828,31.3559
202001013,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,117.312,0,0,0,0,0,0,0.0665173,0,0,12.4144,0,6.90133,2.91064,3.12115,0,7.46881,63.409,0,18.5302,27.1073,33.0806
202001014,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,105.692,0,0.0598909,0,0,0,0,0,25.1835,0,0,0,6.52165,2.75305,0,0,6.83722,0,0,0,0,31.51
202001015,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,94.072,0,0,0,168.203,7.98801,91.6625,0,0,44.1642,0,0,0,0,0,71.4746,0,0,0,0,0,0
202001016,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,82.4519,35.7158,0,0,146.668,0,79.5271,0,0,37.8522,8.42081,0,0,2.43787,2.32028,65.5583,0,0,0,14.5072,0,0
202001017,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,60.1264,25.9149,0,0.0341149,107.042,19.8142,0,0.0331837,0,0,0,0,5.23034,2.30508,2.05735,60.8351,0,0,0,0,0,26.1461
202001018,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,37.801,16.1139,0.0202286,0.0214614,67.4165,12.465,36.5408,0,8.74148,17.1725,3.79921,38.1343,4.6984,2.17229,1.79442,56.1119,4.34464,41.6087,17.1187,11.2869,16.8806,23.9234
202001019,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,15.4755,6.31294,0.00783175,0.00880794,27.7905,5.11572,15.0476,0.00825182,3.54408,6.83262,1.48842,36.0323,4.16646,2.03949,1.5315,51.3887,3.72992,35.7277,15.288,9.67679,14.1897,21.7006
202001020,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,10.317,4.20862,0.00522116,0.00587196,18.527,3.41048,10.0317,0.00550121,0,4.55508,0.992277,35.1982,4.18361,2.04839,0,54.8322,3.82203,37.4222,0,10.2025,14.1207,21.782
202001021,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,5.15849,2.10431,0.00261058,0.00293598,9.26349,1.70524,5.01587,0.00275061,1.18136,2.27754,0,38.1077,4.20077,2.0573,0,58.2758,3.91414,39.1166,15.2665,0,14.0517,21.8634
202001022,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1454,4.21793,2.0662,1.64124,61.7193,4.00625,40.8111,15.2557,11.2539,0,21.9448
202001023,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7497,4.0834,2.01805,1.56567,7.71255,3.83176,0,0,10.8795,13.832,0
20250100,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1356,3.96057,0,0,62.2671,3.90679,21.1462,15.2388,0,13.7033,20.7073
20250101,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9425,3.79842,1.76034,1.46497,0,3.59361,39.1366,14.5028,11.2024,13.6475,19.9236
20250102,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4923,0,1.73426,0,0,0,37.849,0,0,0,19.5038
20250103,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0421,0,1.70818,1.27415,0,0,0,13.8294,0,13.4897,0
20250104,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6821,1.17873,0,2.91244,35.2738,0,0,13.4109,6.10245
20250105,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,2.74684,1.22387,0.00161733,0,4.97777,0.9191,0,0.00153463,0,1.39115,0.288555,33.6949,3.56353,1.68531,0,0,3.03439,35.5498,13.4465,9.5272,14.1056,18.6726
20250106,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,5.49369,0,0.00323466,0,9.95553,1.8382,5.65331,0.00306926,0,2.78231,0,32.7979,3.58922,1.68852,0,0,3.15633,35.8258,13.4002,0,0,18.6811
20250107,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,8.24053,3.67162,0.00485199,0.00474735,14.9333,2.7573,8.47997,0.00460388,2.01799,4.17346,0.865665,31.9009,3.61491,1.69173,0,50.1936,0,36.1019,13.354,0,15.4951,18.6896
20250108,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,28.225,12.5595,0.0162831,0,50.0527,9.28444,0,0.0158409,0,0,2.96119,36.897,0,2.0924,1.83299,0,0,43.7511,17.2151,0,18.9298,0
20250109,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,48.1866,0,0,0.0272103,85.1308,15.804,0,0,11.4994,23.0803,5.05431,0,5.59308,2.48836,2.31567,0,0,0,21.039,14.2939,0,27.3447
20250110,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,68.1071,30.2983,0,0,51.6394,22.3099,0,0,0,32.5082,7.1435,46.7679,6.59618,2.89045,0,0,0,0,24.9104,0,25.8406,0
20250111,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,82.043,36.4383,0,0,0,26.9148,0,0,10.7995,0,0,48.388,0,2.96001,0,78.9233,0,0,0,0,26.398,0
20250112,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,95.9789,0,0,0.0542688,170.608,0,3.53416,0,22.7622,0,0,50.0081,0,3.02957,0,0,7.44215,63.0819,0,0,0,0
20250113,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,109.915,0,0,0.0621974,0,36.1247,76.5534,0.0617544,0,51.997,11.4865,51.6282,0,3.09913,0,0,0,0,28.0686,19.1753,27.5128,34.8778
20250114,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,99.0294,0,0,0.0560277,0,0,96.8534,0,0,46.4544,10.2953,49.7017,0,2.95767,3.01005,2.73676,0,0,26.2905,0,0,0
20250115,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,88.144,0,0,0.0498581,0,28.958,86.0122,0.0490708,0,0,0,47.7751,0,2.81622,0,0,0,0,24.5124,0,0,32.0333
20250116,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,77.2586,0,0.0420732,0,138.402,25.3746,75.171,0.042729,18.0042,3.23044,0,45.8486,0,2.67476,2.50807,0,6.02822,53.3452,22.7343,0,0,30.6111
20250117,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,56.3539,24.2964,0.0304116,0.0318123,100.645,18.4768,54.6431,0,13.0565,0,5.72843,42.7011,5.68233,2.47747,2.22354,0,5.36294,47.4505,20.4259,0,0,0
20250118,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,35.4493,15.0308,0.0187501,0.0199362,62.8875,11.5791,34.1152,0.0193645,0,15.8277,3.54385,39.5535,5.08374,2.28017,1.939,59.6346,4.69767,41.5559,18.1175,12.1259,17.1464,25.6679
20250119,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,14.5446,5.76522,0.00708858,0.00806007,25.13,4.68135,13.5873,0.00768223,3.16123,6.05696,1.35928,36.406,4.48515,2.08287,1.65446,54.8773,4.03239,35.6612,15.8091,10.4793,13.9323,23.1963
20250120,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,9.6964,3.84348,0.00472572,0.00537338,16.7534,3.1209,9.05821,0.00512149,2.10749,4.03798,0.906187,38.4446,4.41839,2.03377,1.72335,58.7242,4.19931,38.4645,16.1097,11.0284,13.8932,0
20250121,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,4.8482,1.92174,0,0.00268669,8.37668,1.56045,4.52911,0.00256074,1.05374,2.01899,0.453094,40.4831,4.35163,1.98467,0,62.571,4.36623,41.2678,0,11.5774,0,22.582
20250122,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5217,4.28487,1.93557,1.86112,66.4179,4.53315,44.0711,16.7108,12.1265,13.815,0
20250123,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,182.683,213.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3286,4.12272,1.87716,1.72907,10.7934,0,42.4263,15.9748,11.8184,13.7591,21.4911
20300100,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.415,4.13347,1.97925,1.52464,0,3.7282,41.7115,0,0,13.7439,0
20300101,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6414,4.01694,1.95596,0,58.148,3.48185,0,0,10.559,13.9755,20.8247
20300102,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0572,3.78788,1.88192,1.34657,55.172,3.30316,0,0,0,13.671,0
20300103,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.473,3.55883,0,1.27261,0,3.12446,37.8615,0,0,13.3665,0
20300104,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73385,1.19865,0,2.94577,0,13.1841,0,0,17.703
20300105,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,1.40966,0,0,0,1.00607,3.15561,0,0.748693,0,0,0,3.39113,1.7031,1.20659,0,0,34.9684,0,0,13.5386,17.9006
20300106,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,5.87703,2.81933,0.00371386,0.00346438,10.9211,2.01214,6.31121,0.0034384,1.49739,3.12259,0,32.2636,0,1.67234,0,48.2817,2.96728,33.923,0,9.13863,0,0
20300107,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,8.81554,4.22899,0,0.00519657,16.3816,3.01821,9.46682,0.0051576,0,4.68389,0,0,3.51383,1.64158,0,47.8126,2.97804,32.8776,12.6181,0,0,18.2958
20300108,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,28.6593,0,0.0173093,0.0166936,52.1316,0,29.2807,0,7.06575,14.4956,3.1425,35.6204,0,1.94146,1.64941,55.7174,0,40.1767,15.6689,11.256,17.3944,0
20300109,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,48.4788,22.4166,0.0290327,0.0281764,87.8364,0,49.0684,0.0279483,0,24.2944,0,39.7021,0,2.23676,0,0,4.97677,47.3842,18.7049,0,0,24.6789
20300110,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,68.2461,0,0.040718,0.0396212,0,0,68.7088,0,0,0,0,0,0,0,2.50746,0,2.31909,54.7353,0,15.4139,23.2562,0
20300111,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,81.5796,0,0,0,0,27.4676,82.3944,0.0467878,19.9683,17.3927,8.7887,45.7059,0,0,0,0,0,57.7406,0,0,0,0
20300112,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,94.9132,43.0804,0,0.054963,0,31.9229,96.08,0,0,0,0,47.5289,0,2.8081,0,0,0,0,24.9325,0,25.2405,0
20300113,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,38.1453,0,0,0.0626339,199.435,0,109.766,0.0617938,0,53.2909,0,49.3519,0,2.94049,0,0,0,0,26.5038,0,26.2326,32.7355
20300114,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,43.6284,0,0,0,0,98.8327,0.0552951,23.831,0,0,47.1635,6.47233,2.7928,0,0,0,0,24.5118,0,0,0
20300115,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,86.2934,0,0.0492422,0,0,29.0839,87.8998,0,0,42.2633,0,0,0,1.88882,0,0,0,0,22.5198,0,23.3398,0
20300116,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,75.3167,0,0,0.0437955,0,0,76.9669,0,0,36.7495,7.80785,0,0,2.49743,2.40797,0,0,0,0,0,0,0
20300117,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,55.0096,24.0197,0.0308531,0.0319325,101.659,18.5467,56.1356,0.0308083,13.3485,26.7459,5.66317,39.8731,5.26089,2.31642,2.10323,0,5.06619,47.2125,18.3312,0,19.0101,26.0808
20300118,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,34.7024,14.9233,0.0191515,0.0200696,63.8876,11.6566,0,0.0193189,8.34767,16.7423,0,36.9596,4.78291,2.13542,1.7985,56.0227,4.34749,41.4568,16.1345,11.205,16.1269,24.0988
20300119,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,14.3953,5.82686,0.00745004,0.00820659,26.1166,4.76646,14.4732,0.0078296,3.34688,6.73866,1.37381,34.0461,4.30494,1.95441,1.49377,50.4223,3.62879,35.701,13.9379,9.45764,13.2436,22.1168
20300120,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,9.59685,3.88458,0.00496669,0,17.4111,3.17764,9.6488,0.00521973,0,4.49244,0,36.3515,4.32547,1.97821,0,54.3776,3.82616,4.70964,14.4068,0,0,22.2297
20300121,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,4.79843,1.94229,0.00248335,0.00273553,8.70553,0,4.8244,0.00260987,1.11563,2.24622,0.457938,38.657,4.346,2.00202,1.65316,58.3328,4.02353,39.9141,14.8756,10.6453,13.2682,22.3426
20300122,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9624,4.36653,2.02583,1.73285,12.7165,0,42.0206,15.3445,11.2391,13.2806,0
20300123,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,2.86967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1887,4.25,2.00254,1.62874,0,3.97455,41.8661,14.9952,11.0124,0,21.9119
20350100,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.33,0,1.80569,0,60.6642,3.65471,41.4854,14.904,0,13.2609,6.43407
20350101,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2117,3.86447,1.78402,1.38368,0,3.3982,41.9279,14.6032,10.6603,13.691,20.252
20350102,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2268,3.68237,1.76334,0,0,0,0,0,0,0,0
20350103,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2419,3.50027,1.74265,1.33234,55.7014,3.26481,38.6283,0,10.0952,0,18.5546
20350104,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2569,0,1.72196,1.30667,0,0,36.9785,12.9044,9.8127,0,0
20350105,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,3.23183,1.50388,0.00197166,0.00188756,5.92625,1.09631,3.3876,0.0018557,0.815071,0,0.354573,33.536,0,1.70104,1.2573,0,3.07332,35.5678,0,9.53241,13.7391,0
20350106,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,6.46367,3.00776,0.00394331,0,0,2.19262,0,0.00371139,1.63014,0,0.709146,0,3.40174,1.68013,1.20793,0,2.94852,34.1572,0,9.25212,0,17.8597
20350107,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,9.6955,4.51164,0.00591497,0,17.7788,0,10.1628,0.00556709,0,0,1.06372,31.3334,0,0,1.15856,47.6342,2.82373,0,0,0,14.2111,17.9366
20350108,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,30.1143,13.7145,0.0178954,0,0,0,30.1994,0.0171344,0,15.0721,3.23349,0,0,1.93543,1.56874,55.7667,0,0,15.8947,11.1496,17.3064,0
20350109,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,50.5064,22.9049,0.0298596,0,0,0,0,0,0,0,5.40034,0,4.87156,2.21037,0,63.7665,0,47.447,19.0672,0,20.3692,24.2744
20350110,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,70.7405,32.0372,0.0417485,0.0401552,125.858,0,70.0776,0,0,0,7.55348,0,0,0,2.37601,0,0,0,22.178,0,23.3668,0
20350111,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,29.8622,38.1312,0,0,0,0,0,0,0,41.4071,0,0,0,0,0,0,0,0,23.6346,0,24.4584,0
20350112,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,98.7856,44.2252,0.0565564,0,0,0,0,0.0560831,23.7979,9.40804,10.4271,0,0,0,2.76729,77.4249,6.6445,0,0,17.125,0,31.0791
20350113,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,112.808,50.3191,0,0,0,0,0,0,0,54.4998,0,0,0,2.95895,0,80.3538,0,61.8266,0,17.9814,26.6416,0
20350114,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,101.956,45.1599,0,0,0,0,0,0,24.3816,0,0,0,0,2.76268,0,0,0,0,24.6115,0,24.7674,0
20350115,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,91.1047,40.0007,0.0507688,0.0518841,0,30.1347,89.1256,0.0513493,0,0,0,0,0,0,2.53065,69.8084,0,0,0,15.4215,0,29.3708
20350116,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,80.253,0,0.044173,0,0,0,78.0623,0,0,18.123,0,42.6431,5.57535,2.37013,0,0,0,0,0,0,21.0191,27.591
20350117,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,58.7517,25.3549,0.0321222,0.0334946,104.968,19.454,57.1232,0,0,27.1283,5.97798,40.5751,0,0,2.0345,59.6044,0,3.12194,0,12.4579,18.0422,0
20350118,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,37.2503,15.8683,0,0.0212427,66.6116,12.3379,36.1841,0,0,0,0,38.5071,4.66605,0,0,54.6732,0,38.8993,16.8945,10.7743,15.0653,23.742
20350119,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,15.749,6.38172,0.00802051,0.00899079,28.2555,5.22193,15.245,0.00856665,3.61083,6.97973,1.50463,36.4391,4.2114,1.97342,1.47448,49.742,3.60625,32.9825,14.9723,9.09061,12.0884,21.8175
20350120,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,10.4994,4.25448,0.00534701,0.00599386,18.837,3.48128,10.1634,0.0057111,0,4.65316,1.00309,37.8149,4.16148,1.93195,1.55093,54.3045,3.79341,35.5218,15.1501,9.74511,12.1925,21.6305
20350121,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,5.24968,2.12724,0.0026735,0.00299693,9.41851,1.74064,5.08168,0.00285555,1.20361,2.32658,0.501545,39.1907,4.11156,1.89048,1.62739,58.867,3.98058,38.061,15.3279,10.3996,12.2966,21.4434
20350122,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,184.462,216.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5665,4.06164,1.84901,1.70384,0,4.16774,40.6002,15.5056,11.0541,12.4006,21.2563
