GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
w1,2035,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w10,2020,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2025,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2030,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2035,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w11,2020,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2025,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2030,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2035,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w2,2020,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w2,2025,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w2,2030,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w2,2035,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w3,2020,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2025,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2030,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2035,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w4,2020,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w4,2025,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w4,2030,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w4,2035,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w5,2020,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2025,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2030,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2035,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w6,2020,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2025,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2030,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2035,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w7,2020,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2025,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2030,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2035,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w8,2020,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w8,2025,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w8,2030,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w8,2035,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w9,2020,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2025,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2030,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2035,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
