timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
202001015,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,94.072,41.362,0,0.0534452,168.203,31.0414,91.6625,0,22.1599,35.9695,0,0,6.14196,2.59546,2.58724,71.4746,6.20564,0,22.8309,15.8482,23.8775,29.9394
202001016,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,82.4519,35.7158,0,0,146.668,27.1635,79.5271,0,0,36.9739,8.42081,383.122,5.76228,2.43787,2.32028,65.5583,0,0,20.7801,14.5072,22.2626,28.3689
202001017,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,60.1264,25.9149,0.0326255,0,107.042,19.8142,58.0339,0.0331837,13.9389,26.424,6.11001,364.102,5.23034,2.30508,2.05735,60.8351,4.95935,47.4896,18.9494,12.8971,19.5716,26.1461
202001018,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,37.801,16.1139,0,0.0214614,67.4165,12.465,36.5408,0,8.74148,0,3.79921,345.081,4.6984,2.17229,1.79442,56.1119,4.34464,41.6087,17.1187,11.2869,16.8806,23.9234
202001019,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,15.4755,6.31294,0.00783175,0.00880794,27.7905,5.11572,15.0476,0.00825182,3.54408,6.83262,1.48842,326.061,4.16646,2.03949,1.5315,51.3887,3.72992,35.7277,15.288,9.67679,14.1897,21.7006
202001020,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,0,4.20862,0,0.00587196,18.527,3.41048,10.0317,0.00550121,2.36272,4.55508,0.992277,335.451,4.18361,2.04839,1.56808,54.8322,3.82203,37.4222,15.2772,10.2025,14.1207,21.782
202001021,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,5.15849,2.10431,0.00261058,0,3.21781,1.70524,5.01587,0,1.18136,2.27754,0,344.841,4.20077,2.0573,1.60466,58.2758,3.91414,39.1166,15.2665,10.7282,14.0517,21.8634
202001022,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.761,4.21793,0,0,0,4.00625,40.8111,15.2557,11.2539,13.9827,0
202001023,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,48.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.322,0,0,0,59.625,0,0,14.9861,10.8795,13.832,0
20250100,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.622,0,1.81875,0,0,0,0,0,0,0,0
