GENERATION_PROJECT,timepoint,gen_max_capacity_factor
w5,42,0.126566646
w5,43,0.110843544
w5,44,0.095120443
w5,45,0.102597806
w5,46,0.110075169
w5,47,0.117552532
w5,48,0.113165194
w5,49,0.111258803
w5,50,0.11084661
w5,51,0.105918064
w5,52,0.100989518
w5,53,0.096060972
w5,54,0.093272576
w5,55,0.09048418
w5,56,0.087695784
w5,57,0.107164915
w5,58,0.126389768
w5,59,0.145997685
w5,60,0.154013833
w5,61,0.162029981
w5,62,0.170046128
w5,63,0.160458868
w5,64,0.150871607
w5,65,0.141284347
w5,66,0.125931785
w5,67,0.110579222
w5,68,0.09522666
w5,69,0.100845503
w5,70,0.106464346
w5,71,0.11208319
w5,72,0.111670996
w5,73,0.11065549
w5,74,0.111835957
w5,75,0.107435376
w5,76,0.103034795
w5,77,0.098634214
w5,78,0.094871488
w5,79,0.091108762
w5,80,0.087346036
w5,81,0.107073289
w5,82,0.126557238
w5,83,0.145635517
w5,84,0.152061161
w5,85,0.158486805
w5,86,0.16491245
w5,87,0.155048756
w5,88,0.145185063
w5,89,0.13532137
w5,90,0.119539454
w5,91,0.103757539
w5,92,0.087975623
w5,93,0.0947486
w5,94,0.101521578
w5,95,0.108294556
w5,96,0.109475023
w6,1,0.166578203
w6,2,0.163526762
w6,3,0.158157545
w6,4,0.152788328
w6,5,0.147419111
w6,6,0.144466166
w6,7,0.141513221
w6,8,0.138560277
w6,9,0.17986491
w6,10,0.221475942
w6,11,0.262366235
w6,12,0.276528527
w6,13,0.29069082
w6,14,0.304853112
w6,15,0.281639456
w6,16,0.2584258
w6,17,0.235212143
w6,18,0.214490278
w6,19,0.193768413
w6,20,0.173046547
w6,21,0.172924726
w6,22,0.172802905
w6,23,0.172681084
w6,24,0.169629644
w6,25,0.17248956
w6,26,0.164158765
w6,27,0.160347762
w6,28,0.15653676
w6,29,0.152725758
w6,30,0.152202199
w6,31,0.15167864
w6,32,0.151155081
w6,33,0.19485934
w6,34,0.238142553
w6,35,0.281963892
w6,36,0.293879693
w6,37,0.305795494
w6,38,0.317711296
w6,39,0.29758491
w6,40,0.277458524
w6,41,0.257332139
w6,42,0.231203177
w6,43,0.205074215
w6,44,0.178945253
w6,45,0.182347219
w6,46,0.185749185
w6,47,0.189151151
w6,48,0.180820356
w6,49,0.165779514
w6,50,0.161826191
w6,51,0.157628393
w6,52,0.153430594
w6,53,0.149232796
w6,54,0.14709718
w6,55,0.144961564
w6,56,0.142825947
w6,57,0.177358484
w6,58,0.211722829
w6,59,0.246641586
w6,60,0.264427442
w6,61,0.282213299
w6,62,0.299999155
w6,63,0.277451599
w6,64,0.254904043
w6,65,0.232356487
w6,66,0.207492502
w6,67,0.182628518
w6,68,0.157764534
w6,69,0.163071743
