timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
202001010,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,75.0485,34.1057,0,0,136.543,25.0505,75.9671,0,18.5552,37.7193,8.04118,250.613,5.75417,2.51931,2.48374,69.1745,5.9509,52.8842,23.1791,15.2808,24.6337,27.9065
202001011,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,89.1363,40.2885,0,0.0510199,161.453,29.6328,89.2892,0,21.7725,44.0756,9.49892,0.303426,6.13656,2.64975,2.69621,73.8854,6.45687,56.3925,24.4302,16.3639,25.4583,29.6312
202001012,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,103.224,46.4714,0,0.0589094,186.363,34.2151,102.611,0.0587566,24.9898,50.432,10.9567,267.246,6.51894,2.7802,2.90868,78.5964,6.96284,59.9007,6.68397,17.4471,26.2828,31.3559
202001013,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,117.312,0,0,0,0,38.7973,115.933,0,28.207,56.7883,0,196.616,6.90133,0,3.12115,83.3074,7.46881,0,26.9326,0,0,33.0806
202001014,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,105.692,0,0,0,0,34.9194,0,0,0,50.4763,11.0832,262.886,6.52165,0,0.926298,77.391,6.83722,60.0629,0,17.1892,0,0
202001015,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,94.072,41.362,0,0,168.203,31.0414,91.6625,0,22.1599,44.1642,9.75201,250.208,6.14196,2.59546,0,71.4746,6.20564,56.7168,22.8309,15.8482,23.8775,29.9394
202001016,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,82.4519,35.7158,0,0,146.668,27.1635,79.5271,0,19.1363,37.8522,8.42081,237.531,5.76228,2.43787,0,65.5583,5.57406,53.3706,20.7801,14.5072,22.2626,28.3689
202001017,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,60.1264,25.9149,0,0,107.042,19.8142,58.0339,0.0331837,13.9389,27.5123,6.11001,225.739,5.23034,2.30508,0,60.8351,4.95935,47.4896,18.9494,12.8971,19.5716,26.1461
202001018,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,37.801,16.1139,0.0202286,0.0214614,67.4165,12.465,36.5408,0.0207177,8.74148,17.1725,3.79921,213.946,4.6984,2.17229,1.79442,56.1119,4.34464,41.6087,17.1187,11.2869,16.8806,23.9234
202001019,80.1581,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0,0,60.6184,0,0,15.4755,6.31294,0.00783175,0.00880794,27.7905,5.11572,15.0476,0.00825182,3.54408,6.83262,1.48842,202.154,4.16646,2.03949,1.5315,51.3887,3.72992,35.7277,15.288,9.67679,14.1897,21.7006
