timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
202001013,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,415.232,0,0,0,0,0,0
202001014,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,246.862,0,0,0,0,0,0
202001015,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,109.526,0,0,0,0,0,0
202001016,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,160.952,0.86478,0,0,0,0,0
202001017,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,523.491,0.86478,0,0,0,0,0
202001018,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,477.61,0.86478,0,0,0,0,0
202001019,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,523.491,0.86478,0,0,0,0,0
202001020,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,446.549,0.86478,0,0,0,0,0
202001021,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,428.025,0.86478,0,0,0,0,0
202001022,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,327.483,0.86478,0,0,0,0,0
