generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
N-Central_PV-2,N-Central_PV-2,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-2,N-Central_PV-2,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Central_PV-2,N-Central_PV-2,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Wind-1,N-Wind-1,Wind,inside_lvliang,Wind,2020,5.47492218,0.0,0.0,4.0,616647.8043582508,223200.0,153.3990396112353,0.15614083333333334
N-Wind-1,N-Wind-1,Wind,inside_lvliang,Wind,2025,1.1617872,0.0,0.0,4.0,616647.8043582508,223200.0,722.8929741679465,0.033133333333333334
N-Wind-1,N-Wind-1,Wind,inside_lvliang,Wind,2030,8.274199375026372,0.0,0.0,4.0,616647.8043582508,223200.0,101.50200234395174,0.23597420074795722
N-Wind-1,N-Wind-1,Wind,inside_lvliang,Wind,2035,3.6270505750264865,0.0,0.0,4.0,616647.8043582508,223200.0,231.5511700170097,0.10344086741462716
N-Wind-2,N-Wind-2,Wind,inside_lvliang,Wind,2020,0.6317217900000001,0.0,0.0,1.0,154859.5875847584,55800.0,333.46892717561377,0.072065
N-Wind-2,N-Wind-2,Wind,inside_lvliang,Wind,2025,0.6317217900000001,0.0,0.0,1.0,154859.5875847584,55800.0,333.46892717561377,0.072065
N-Wind-2,N-Wind-2,Wind,inside_lvliang,Wind,2030,1.2634435800000001,0.0,0.0,1.0,154859.5875847584,55800.0,166.73446358780689,0.14413
N-Wind-2,N-Wind-2,Wind,inside_lvliang,Wind,2035,1.2634435800000001,0.0,0.0,1.0,154859.5875847584,55800.0,166.73446358780689,0.14413
S-Central_PV-1,S-Central_PV-1,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2020,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2025,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2030,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2035,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
