gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
6,Coal,2030,1651.257853290154,754624.8389536004,1591230.3370526384,232.67136103160573,13300665.340974582,2466316.426935021,10.005467391990704,0.8096
6,Coal,2035,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
9,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
9,Coal,2025,4067.653423607562,1858917.614588656,3919783.645760526,573.1548566990155,28447615.108630236,6075441.481009563,8.9442168285718,0.8096000000000001
9,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
11,Coal,2020,958.0887359999999,437846.5523519999,1090581.8692127038,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
11,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
11,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
12,Coal,2020,958.0887359999999,437846.5523519999,1186965.596054304,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
12,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
12,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
13,Coal,2020,958.0887359999999,437846.5523519999,1283349.3228959038,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
13,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
13,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
14,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
14,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
14,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
16,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
16,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
16,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
PV1,Solar,2020,2804.4888211482976,0.0,0.0,1946.0,49504086.72727321,25979100.0,26.915131969171703,0.16440287612375912
PV1,Solar,2025,2698.186993559441,0.0,0.0,1946.0,49504086.72727321,25979100.0,27.975520935891844,0.15817132117476693
PV1,Solar,2030,2736.955075765176,0.0,0.0,1946.0,49504086.72727321,25979100.0,27.579256742520787,0.16044395787360582
PV1,Solar,2035,3166.9932987171214,0.0,0.0,1946.0,49504086.72727321,25979100.0,23.834337369090665,0.18565337221083336
PV10,Solar,2020,25.821760691931903,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,129.46402494266113,0.034178800705000005
PV10,Solar,2025,22.565845017660056,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,148.14375742044987,0.02986912971583333
PV10,Solar,2030,24.30662560294109,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,137.5340668381052,0.03217330228583333
PV10,Solar,2035,30.593680631324496,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,109.27057488012257,0.040495120592499996
PV11,Solar,2020,0.0237510616387442,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,183.17265391830338,0.02415712723666667
PV11,Solar,2025,0.004361295109880862,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,997.5351092131958,0.004435859015
PV11,Solar,2030,0.009043365526959994,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,481.07587609681156,0.009197977547499998
PV11,Solar,2035,0.01123705028250804,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,387.16076589228965,0.011429167149166669
PV2,Solar,2020,0.009869184086320365,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,436.2181894892815,0.010143834469999998
PV2,Solar,2025,0.01074522975995323,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,400.65384454746516,0.011044259695
PV2,Solar,2030,0.005994917490581655,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,718.1279176293375,0.006161750571666668
PV2,Solar,2035,0.01555630160496791,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,276.7442881472713,0.015989219277499998
PV3,Solar,2020,58.357445064372754,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,231.93319896615427,0.019078446409166668
PV3,Solar,2025,48.59967378284276,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,278.50040676713104,0.01588839728583333
PV3,Solar,2030,175.62746889769596,0.0,0.0,1850.33484264274,47070470.97876753,24701970.149280578,408.66295903777996,0.01082781056888811
PV3,Solar,2035,532.2551704196576,0.0,0.0,1850.33484264274,47070470.97876753,24701970.149280578,134.8459256327355,0.032814674126929344
PV4,Solar,2020,16.19579168247796,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,154.3886929582467,0.028660940268333338
PV4,Solar,2025,17.819635405216722,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,140.31976818952234,0.031534581079166665
PV4,Solar,2030,36.11181142274853,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,69.24180789520479,0.06390539533108874
PV4,Solar,2035,182.10012762980523,0.0,0.0,609.4169553758887,15502893.01747111,8135716.354268115,129.81105328929036,0.034087429343333336
PV5,Solar,2020,74.70182415269542,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,99.68945024843165,0.044387095083333335
PV5,Solar,2025,38.772918531194236,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,192.06662960761773,0.02303848990333333
PV5,Solar,2030,30.383125830932137,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,245.10262123048813,0.018053356935833334
PV5,Solar,2035,82.00975366402666,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,90.80607427313636,0.04872939549916666
PV6,Solar,2020,0.0030139768722659745,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,1432.1202822578941,0.0030897719708333337
PV6,Solar,2025,0.004676558954204714,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,922.9815022747524,0.004794164450833334
PV6,Solar,2030,0.0028597613817078803,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,1509.3487997416503,0.0029316782891666672
PV6,Solar,2035,0.00417196003392092,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,1034.616193331954,0.0042768759425
PV7,Solar,2020,11.416071331224412,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,159.51002171716186,0.027740734151666665
PV7,Solar,2025,54.62210583252467,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,33.337744091220586,0.1327301899875
PV7,Solar,2030,30.08402363171369,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,60.529728611456534,0.0731033363025
PV7,Solar,2035,30.30797610421524,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,60.08246079206236,0.07364753454916666
PV8,Solar,2020,25.171550287310925,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,142.5259066477461,0.031046461734978475
PV8,Solar,2025,15.806925238025858,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,226.96368663766657,0.01949618096416667
PV8,Solar,2030,26.861868707897475,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,133.5572765037586,0.03313129185333333
PV8,Solar,2035,15.07199397330583,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,238.0307497987564,0.018589720490833333
PV9,Solar,2020,8.56201723029294,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,92.05592485019017,0.04806779264
PV9,Solar,2025,5.717315459254502,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,137.85917889873681,0.032097428276666666
PV9,Solar,2030,27.553016708065833,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,28.606102303387637,0.15468465644333335
PV9,Solar,2035,32.968590256987056,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,23.907131259603663,0.18508808350666667
outside,Coal,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside,Coal,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside,Coal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside,Coal,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind1,Wind,2020,1744.3457591502952,0.0,0.0,1639.92,83512898.84044267,44031852.0,73.1189617490584,0.12134124453530706
