timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
202001013,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,731.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001014,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,707.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001015,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,735.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001016,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,791.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001017,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,600.677,0,0,0,0,0,0,0,0,0,0,206.386,0,0,0,0,0,0,171.475,12.8971,19.5716,0
202001018,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,377.64,16.1139,0.0202286,0,67.4165,12.465,36.5408,0,0,17.1725,3.79921,345.081,4.6984,2.17229,1.79442,49.4934,0,41.6087,154.909,11.2869,16.8806,23.9234
202001019,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,154.604,6.31294,0.00783175,0.00880794,27.7905,5.11572,15.0476,0.00825182,3.54408,6.83262,1.48842,326.061,4.16646,2.03949,1.5315,450.972,3.72992,35.7277,138.343,9.67679,14.1897,21.7006
202001020,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,103.069,0,0.00522116,0,18.527,3.41048,0,0,2.36272,4.55508,0.992277,335.451,4.18361,2.04839,0,481.191,3.82203,37.4222,108.811,10.2025,14.1207,21.782
202001021,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,51.5345,2.10431,0,0,9.26349,0,5.01587,0,0,2.27754,0,344.841,4.20077,2.0573,0,484.316,3.91414,39.1166,138.148,10.7282,14.0517,21.8634
202001022,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.363,4.21793,2.0662,0,541.63,4.00625,40.8111,138.051,11.2539,13.9827,21.9448
