gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
PV2,inside_lvliang,Solar,2020,0.1689937143783912,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,25.47501621410354,0.17369665517750002
PV2,inside_lvliang,Solar,2025,0.13055460149684614,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,32.97560993263878,0.134187816875
PV2,inside_lvliang,Solar,2030,0.1624444624921628,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,26.502089069849337,0.16696514359
PV2,inside_lvliang,Solar,2035,0.4115926634612451,0.0,0.0,1.1088,28206.645099280846,14802.48,104.49439194955552,0.042346053452500004
PV3,inside_lvliang,Solar,2020,459.10645878200455,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,29.481242658139905,0.150092896635774
PV3,inside_lvliang,Solar,2025,361.05714610264397,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,37.48722068894807,0.11803822811241149
PV3,inside_lvliang,Solar,2030,516.0380629125378,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,26.228741424381333,0.16870520149583335
PV3,inside_lvliang,Solar,2035,1533.0269749630734,0.0,0.0,2681.893821716591,68224411.2762571,35803282.51991649,67.857706025479,0.06520888143965414
PV4,inside_lvliang,Solar,2020,82.05125396906445,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,30.474209574232127,0.14520229298166665
PV4,inside_lvliang,Solar,2025,93.13179198215002,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,26.848480589325074,0.16481100642774213
PV4,inside_lvliang,Solar,2030,96.0081827799408,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,26.04410412613538,0.16990122161821383
PV4,inside_lvliang,Solar,2035,551.2791343306151,0.0,0.0,644.0,16382647.406147968,8597400.0,45.312883892258554,0.09765269227850529
PV5,inside_lvliang,Solar,2020,238.0860432072556,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,31.278539817029795,0.14146840398774582
PV5,inside_lvliang,Solar,2025,288.7422033384199,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,25.791116422315977,0.1715678001109584
PV5,inside_lvliang,Solar,2030,269.94953708704134,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,27.586577338475106,0.16040138117500005
PV5,inside_lvliang,Solar,2035,99.01174433196343,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,75.21313590203208,0.05883181247416667
PV6,inside_lvliang,Solar,2020,0.11438285140592476,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,37.73622842912214,0.11725933648333334
PV6,inside_lvliang,Solar,2025,0.14733980151400367,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,29.29539312986023,0.15104508368833333
PV6,inside_lvliang,Solar,2030,0.17073143241923944,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,25.2816798164572,0.1750249642866667
PV6,inside_lvliang,Solar,2035,0.05599415793709388,0.0,0.0,0.111278694,2830.8068441283126,1485.5705649,77.08620984849003,0.057402291741666674
PV7,inside_lvliang,Solar,2020,68.57838401810824,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,26.55323265545952,0.1666435557733333
PV7,inside_lvliang,Solar,2025,49.15704917520209,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,37.04408251760748,0.11945025510833333
PV7,inside_lvliang,Solar,2030,67.26403493867114,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,27.072086704708912,0.16344972425833335
PV7,inside_lvliang,Solar,2035,53.378408256319354,0.0,0.0,46.94585543,1194250.6159777748,626727.1699905,34.114501452049076,0.12970803965
PV8,inside_lvliang,Solar,2020,86.99562602447347,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,41.23883223070395,0.10729996141083334
PV8,inside_lvliang,Solar,2025,128.32747012643148,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,27.95658655854223,0.15827844711000003
PV8,inside_lvliang,Solar,2030,124.20544975661758,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,28.884384972304158,0.15319436821054735
PV8,inside_lvliang,Solar,2035,107.57266573428086,0.0,0.0,92.49034205,2352851.960060824,1234746.0663675,33.35046130854636,0.1326795772341667
PV9,inside_lvliang,Solar,2020,15.728274152139086,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,50.1125811448731,0.08829968454808014
PV9,inside_lvliang,Solar,2025,27.3293123880406,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,28.840257798172498,0.153428763985
PV9,inside_lvliang,Solar,2030,21.234294292065876,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,37.118465246682696,0.11921088540636313
PV9,inside_lvliang,Solar,2035,21.90692557296838,0.0,0.0,20.31984787,516914.4456533801,271269.9690645,35.97877813080466,0.12298708674583332
coal1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
coal1,inside_lvliang,Coal,2025,2129.08608,972992.3385600001,1982934.540221184,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
coal1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
coal1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
coal10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
