period,timepoint_label,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
2020,202001012,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,103.2242027945847,46.47136387812541,0.059713803472816844,0.05890939203204841,186.36334860524616,34.21505106886844,102.61124719237674,0.05875655577730325,24.989754957109927,50.431968504896396,10.956663025019559,0.0,0.0,2.7801975181542176,2.9086820347179194,0.0,6.962836478464034,59.90072970288902,0.0,0.0,26.282769660883233,5.69676505121231
2020,202001013,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.06732510150707678,0.06679889218180703,0.0,0.0,115.93331041997462,0.06651734626191379,0.0,0.0,0.0,444.46395428342885,0.0,0.0,0.0,0.0,0.0,0.0,26.932606863775487,18.530220357252386,27.107284438834586,0.0
2020,202001014,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,105.69202166649974,47.00808416475293,0.05989087048975375,0.060122054598394384,123.27563014395014,0.0,0.0,0.0,25.183460637926945,0.0,0.0,0.0,0.0,0.0,2.8541941286637367,0.0,0.0,0.0,0.0,0.0,0.0,31.509997030866337
2020,202001015,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,94.07198035221383,41.36196629555961,0.052456639582347066,0.053445217123750395,150.47082202032834,31.04141411408649,91.66247645707156,0.0,22.15987664623727,0.0,0.0,0.0,0.0,0.0,2.58723512902765,0.0,0.0,0.0,0.0,0.0,0.0,29.93943830545741
2020,202001016,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,82.45193903792791,35.7158484263663,0.045022408565024014,0.04676837954033776,146.6684651270794,27.163452875397745,72.58243827768183,0.0,19.136292608540657,37.85221126795204,8.420809789156465,0.0,5.762275511184356,2.4378691301692657,2.3202761051773204,65.55826532068086,5.574060858718707,53.37063948145658,0.0,0.0,22.26259375799988,0.0
2020,202001017,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,60.12644971361422,0.0,0.0,0.034114899350809386,107.0424620325504,19.81420930065338,58.0339103264333,0.0,13.938887774219456,27.51234634987455,6.110011843895678,114.03509903742292,5.230335708814812,0.0,2.0573503508863635,60.83508484605793,0.0,47.48964573037331,0.0,0.0,19.571615979735824,26.14612777746629
2020,202001018,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,31.827480963785035,16.11390731434706,0.02022863327649742,0.02146141916128101,67.41645893802139,12.46496572590902,36.540761459468236,0.020717735203396124,8.741482939898253,17.17248143179706,3.799213918548341,345.0811684568573,4.6983959064452705,2.172285208021894,1.7944245965954058,0.0,4.344635544380123,0.0,0.0,11.286935449227673,16.88063820147177,23.92337566795946
2020,202001019,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,15.475471064986849,6.312936716107192,0.00783174563223412,0.008807938971752628,27.790456185454428,5.115722151164656,15.047612404355391,0.008251818952131349,3.544078059570113,6.83261651371957,1.488415973287553,326.06060045726497,4.166456104075728,2.0394932469482083,1.5314988423044489,51.388724233614575,3.7299228594595797,35.727658228206764,15.28800079785588,9.676789864383641,14.18966058768529,21.700623711914943
2020,202001020,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,10.316980646359745,4.208624505558295,0.005221163754822746,0.005871959314501753,18.52697079030295,3.410481434109771,10.031741665619522,0.00550121267110527,2.3627187063800754,4.555077736240071,0.9922773221628526,335.4506187493272,4.183613452319585,2.0483942958018004,1.5680792019832879,54.83224079539766,3.8220332655394795,37.42215145227917,15.277238378278701,10.20247884367826,14.120657471488572,21.782028567971775
2020,202001021,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,5.158490418627103,0.0,0.0,0.0029359796572508766,9.263485395151475,1.7052407170548856,5.015870738735872,0.0027506062810260753,1.1813593531900377,2.2775388681200357,0.49613865112470085,344.840635411309,4.200770800563442,2.0572953446553925,1.6046595616621269,58.275757357180744,3.9141436716193807,39.11664430144602,15.266475958701525,10.728167911670562,0.0,21.86343327056627
