gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
9,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
9,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
10,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
11,inside_lvliang,Coal,2020,958.0887359999999,437846.5523519999,1090581.8692127038,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
11,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
11,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
12,inside_lvliang,Coal,2020,958.0887359999999,437846.5523519999,1186965.596054304,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
12,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
12,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
13,inside_lvliang,Coal,2020,958.0887359999999,437846.5523519999,1283349.3228959038,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
13,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
13,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
14,inside_lvliang,Coal,2020,354.84768,162165.38976,511012.2406435199,50.0,2405663.526074472,530000.0,8.730024431424976,0.8096000000000001
14,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
14,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
15,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
16,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
16,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
16,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
17,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
PV1,inside_lvliang,Solar,2020,2727.424328688099,0.0,0.0,1946.0,49504086.72727321,25979100.0,27.675630056281303,0.15988525276511553
PV1,inside_lvliang,Solar,2025,2592.2814451846302,0.0,0.0,1946.0,49504086.72727321,25979100.0,29.118438072181267,0.15196299664197244
PV1,inside_lvliang,Solar,2030,2434.564277108966,0.0,0.0,1946.0,49504086.72727321,25979100.0,31.004803379810188,0.14271740584118014
