RecoveryDemand_index_1,RecoveryDemand_index_2,RecoveryDemand
outside_lvliang,33,15996.74831262209
outside_lvliang,34,16496.74831262209
outside_lvliang,35,16996.74831262209
outside_lvliang,36,17496.74831262209
outside_lvliang,37,17993.49662524418
outside_lvliang,38,18493.49662524418
outside_lvliang,39,18993.49662524418
outside_lvliang,40,19493.49662524418
outside_lvliang,41,19993.49662524418
outside_lvliang,42,20493.49662524418
outside_lvliang,43,20993.49662524418
outside_lvliang,44,21493.49662524418
outside_lvliang,45,21993.49662524418
outside_lvliang,46,22500.0
outside_lvliang,47,23000.0
outside_lvliang,48,23500.0
outside_lvliang,49,24000.0
outside_lvliang,50,24500.0
outside_lvliang,51,25000.0
outside_lvliang,52,25496.74831262209
outside_lvliang,53,25996.74831262209
outside_lvliang,54,26496.74831262209
outside_lvliang,55,26996.74831262209
outside_lvliang,56,27496.74831262209
outside_lvliang,57,27996.74831262209
outside_lvliang,58,28493.49662524418
outside_lvliang,59,28993.49662524418
outside_lvliang,60,29493.49662524418
outside_lvliang,61,29993.49662524418
outside_lvliang,62,30493.49662524418
outside_lvliang,63,30993.49662524418
outside_lvliang,64,31494.172206125648
outside_lvliang,65,31994.172206125648
outside_lvliang,66,32494.172206125648
outside_lvliang,67,32994.172206125644
outside_lvliang,68,33494.172206125644
outside_lvliang,69,33994.172206125644
outside_lvliang,70,34500.0
outside_lvliang,71,35000.0
outside_lvliang,72,35500.0
outside_lvliang,73,36000.0
outside_lvliang,74,36500.0
outside_lvliang,75,37000.0
outside_lvliang,76,37500.0
outside_lvliang,77,37996.710314450356
outside_lvliang,78,38496.710314450356
outside_lvliang,79,38996.710314450356
outside_lvliang,80,39496.710314450356
outside_lvliang,81,39996.710314450356
outside_lvliang,82,40496.710314450356
outside_lvliang,83,40996.710314450356
outside_lvliang,84,41496.710314450356
outside_lvliang,85,41996.710314450356
outside_lvliang,86,42496.710314450356
outside_lvliang,87,42993.42062890071
outside_lvliang,88,43493.42062890071
outside_lvliang,89,43993.42062890071
outside_lvliang,90,44493.42062890071
outside_lvliang,91,44993.42062890071
outside_lvliang,92,45493.42062890071
outside_lvliang,93,46000.0
outside_lvliang,94,46500.0
outside_lvliang,95,47000.0
outside_lvliang,96,47500.0
