ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
outside_lvliang,5,1066.9560839550668
outside_lvliang,6,1066.9560839550668
outside_lvliang,7,1066.9560839550666
outside_lvliang,8,1066.9560839550666
outside_lvliang,9,1066.9560839550666
outside_lvliang,10,1066.9560839550668
outside_lvliang,11,1066.9560839550668
outside_lvliang,12,1066.9560839550668
outside_lvliang,13,1066.9560839550668
outside_lvliang,14,1066.9560839550668
outside_lvliang,15,1066.9560839550668
outside_lvliang,16,1066.9560839550668
outside_lvliang,17,1066.9560839550666
outside_lvliang,18,1066.9560839550668
outside_lvliang,19,1066.9560839550668
outside_lvliang,20,950.3695881731785
outside_lvliang,21,997.0740138781251
outside_lvliang,22,993.5393037004103
outside_lvliang,23,1063.084433098371
outside_lvliang,24,1066.9560839550668
outside_lvliang,25,1066.9560839550668
outside_lvliang,26,1066.9560839550666
outside_lvliang,27,1066.9560839550668
outside_lvliang,28,1066.9560839550668
outside_lvliang,29,1066.9560839550666
outside_lvliang,30,1066.9560839550668
outside_lvliang,31,1049.664845137491
outside_lvliang,32,1066.9560839550666
outside_lvliang,33,1066.9560839550666
outside_lvliang,34,1066.9560839550668
outside_lvliang,35,1066.9560839550668
outside_lvliang,36,1066.9560839550666
outside_lvliang,37,1066.9560839550668
outside_lvliang,38,1066.9560839550668
outside_lvliang,39,1066.9560839550668
outside_lvliang,40,1066.9560839550668
outside_lvliang,41,1066.9560839550668
outside_lvliang,42,1066.9560839550666
outside_lvliang,43,1066.9560839550666
outside_lvliang,44,950.3695881731785
outside_lvliang,45,1001.5472094704486
outside_lvliang,46,1002.4856960689748
outside_lvliang,47,1066.9560839550668
outside_lvliang,48,1066.9560839550668
outside_lvliang,49,1066.9560839550666
outside_lvliang,50,1066.9560839550668
outside_lvliang,51,1066.9560839550668
outside_lvliang,52,1066.9560839550666
outside_lvliang,53,1066.9560839550666
outside_lvliang,54,1066.9560839550666
outside_lvliang,55,1066.9560839550668
outside_lvliang,56,1066.9560839550666
outside_lvliang,57,1066.9560839550666
outside_lvliang,58,1066.9560839550666
outside_lvliang,59,1066.9560839550668
outside_lvliang,60,1066.9560839550666
outside_lvliang,61,1066.9560839550668
outside_lvliang,62,1066.9560839550668
outside_lvliang,63,1066.9560839550668
outside_lvliang,64,1066.9560839550668
outside_lvliang,65,1066.9560839550668
outside_lvliang,66,1066.9560839550668
outside_lvliang,67,1066.9560839550666
outside_lvliang,68,950.3695881731785
outside_lvliang,69,1001.1569503848712
outside_lvliang,70,1001.7051775165712
outside_lvliang,71,1066.9560839550668
outside_lvliang,72,1050.8356227754728
outside_lvliang,73,1066.9560839550666
outside_lvliang,74,1066.9560839550666
outside_lvliang,75,1066.9560839550668
outside_lvliang,76,1066.9560839550666
outside_lvliang,77,1066.9560839550668
outside_lvliang,78,1066.9560839550666
outside_lvliang,79,1030.012940611431
outside_lvliang,80,1066.9560839550666
outside_lvliang,81,1066.9560839550668
outside_lvliang,82,1066.9560839550668
outside_lvliang,83,1066.9560839550668
outside_lvliang,84,1066.9560839550668
outside_lvliang,85,1066.9560839550668
outside_lvliang,86,1066.9560839550668
outside_lvliang,87,1066.9560839550668
outside_lvliang,88,1066.9560839550668
outside_lvliang,89,1066.9560839550668
outside_lvliang,90,1066.9560839550666
outside_lvliang,91,1066.9560839550666
outside_lvliang,92,950.3695881731785
outside_lvliang,93,1008.0978437627084
outside_lvliang,94,1015.5869663027714
outside_lvliang,95,1066.9560839550668
outside_lvliang,96,1066.9560839550666
