ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
outside_lvliang,24,10.40741150544818
outside_lvliang,25,10.40741150544818
outside_lvliang,26,10.407411505447953
outside_lvliang,27,10.40741150544818
outside_lvliang,28,10.40741150544818
outside_lvliang,29,10.407411505447953
outside_lvliang,30,10.40741150544818
outside_lvliang,31,-5.967391654795961
outside_lvliang,32,10.407411505447953
outside_lvliang,33,10.407411505447953
outside_lvliang,34,10.40741150544818
outside_lvliang,35,10.40741150544818
outside_lvliang,36,10.407411505447953
outside_lvliang,37,10.40741150544818
outside_lvliang,38,10.40741150544818
outside_lvliang,39,10.40741150544818
outside_lvliang,40,10.40741150544818
outside_lvliang,41,10.40741150544818
outside_lvliang,42,10.407411505447953
outside_lvliang,43,10.407411505447953
outside_lvliang,44,-100.0
outside_lvliang,45,-51.534792631485175
outside_lvliang,46,-50.64604582268089
outside_lvliang,47,10.40741150544818
outside_lvliang,48,10.40741150544818
outside_lvliang,49,10.407411505447953
outside_lvliang,50,10.40741150544818
outside_lvliang,51,10.40741150544818
outside_lvliang,52,10.407411505447953
outside_lvliang,53,10.407411505447953
outside_lvliang,54,10.407411505447953
outside_lvliang,55,10.40741150544818
outside_lvliang,56,10.407411505447953
outside_lvliang,57,10.407411505447953
outside_lvliang,58,10.407411505447953
outside_lvliang,59,10.40741150544818
outside_lvliang,60,10.407411505447953
outside_lvliang,61,10.40741150544818
outside_lvliang,62,10.40741150544818
outside_lvliang,63,10.40741150544818
outside_lvliang,64,10.40741150544818
outside_lvliang,65,10.40741150544818
outside_lvliang,66,10.40741150544818
outside_lvliang,67,10.407411505447953
outside_lvliang,68,-100.0
outside_lvliang,69,-51.904367985527074
outside_lvliang,70,-51.38519689180714
outside_lvliang,71,10.40741150544818
outside_lvliang,72,-4.858665231627356
outside_lvliang,73,10.407411505447953
outside_lvliang,74,10.407411505447953
outside_lvliang,75,10.40741150544818
outside_lvliang,76,10.407411505447953
outside_lvliang,77,10.40741150544818
outside_lvliang,78,10.407411505447953
outside_lvliang,79,-24.577745240974764
outside_lvliang,80,10.407411505447953
outside_lvliang,81,10.40741150544818
outside_lvliang,82,10.40741150544818
outside_lvliang,83,10.40741150544818
outside_lvliang,84,10.40741150544818
outside_lvliang,85,10.40741150544818
outside_lvliang,86,10.40741150544818
outside_lvliang,87,10.40741150544818
outside_lvliang,88,10.40741150544818
outside_lvliang,89,10.40741150544818
outside_lvliang,90,10.407411505447953
outside_lvliang,91,10.407411505447953
outside_lvliang,92,-100.0
outside_lvliang,93,-45.331341956715164
outside_lvliang,94,-38.23914291127551
outside_lvliang,95,10.40741150544818
outside_lvliang,96,10.407411505447953
