GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
s3,2030,PV3,inside_lvliang,Solar,348.941,0,.,8.87667e+06,4.65836e+06
s3,2035,PV3,inside_lvliang,Solar,583.608,0,.,1.48463e+07,7.79116e+06
s4,2020,PV4,inside_lvliang,Solar,64.463,0,.,1.63987e+06,860581
s4,2025,PV4,inside_lvliang,Solar,64.463,0,.,1.63987e+06,860581
s4,2030,PV4,inside_lvliang,Solar,64.463,0,.,1.63987e+06,860581
s4,2035,PV4,inside_lvliang,Solar,644,0,.,1.63826e+07,8.5974e+06
s5,2020,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2025,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2030,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s5,2035,PV5,inside_lvliang,Solar,191.988,0,.,4.88395e+06,2.56303e+06
s6,2020,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2025,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2030,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s6,2035,PV6,inside_lvliang,Solar,0.111279,0,.,2830.81,1485.57
s7,2020,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2025,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2030,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s7,2035,PV7,inside_lvliang,Solar,46.9459,0,.,1.19425e+06,626727
s8,2020,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2025,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2030,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s8,2035,PV8,inside_lvliang,Solar,92.4903,0,.,2.35285e+06,1.23475e+06
s9,2020,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2025,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2030,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
s9,2035,PV9,inside_lvliang,Solar,20.3198,0,.,516914,271270
w1,2020,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w1,2025,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w1,2030,wind1,inside_lvliang,Wind,181.224,0,.,9.22885e+06,4.86588e+06
w1,2035,wind1,inside_lvliang,Wind,1639.92,0,.,8.35129e+07,4.40319e+07
w10,2020,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2025,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2030,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w10,2035,wind10,inside_lvliang,Wind,40.194,0,.,2.04688e+06,1.07921e+06
w11,2020,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2025,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2030,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w11,2035,wind11,inside_lvliang,Wind,16.563,0,.,843468,444715
w2,2020,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w2,2025,wind2,inside_lvliang,Wind,0,24.3604,.,1.24055e+06,0
w2,2030,wind2,inside_lvliang,Wind,0,24.3604,.,1.24055e+06,0
w2,2035,wind2,inside_lvliang,Wind,24.3604,0,.,1.24055e+06,654077
w3,2020,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2025,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2030,wind3,inside_lvliang,Wind,338.836,0,.,1.72552e+07,9.09773e+06
w3,2035,wind3,inside_lvliang,Wind,1742.02,0,.,8.87123e+07,4.67732e+07
w4,2020,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w4,2025,wind4,inside_lvliang,Wind,0,55.8375,.,2.84353e+06,0
w4,2030,wind4,inside_lvliang,Wind,0,55.8375,.,2.84353e+06,0
w4,2035,wind4,inside_lvliang,Wind,55.8375,0,.,2.84353e+06,1.49924e+06
w5,2020,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2025,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2030,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w5,2035,wind5,inside_lvliang,Wind,377.169,0,.,1.92073e+07,1.0127e+07
w6,2020,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2025,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2030,wind6,inside_lvliang,Wind,88.8795,0,.,4.52618e+06,2.38641e+06
w6,2035,wind6,inside_lvliang,Wind,804.28,0,.,4.09579e+07,2.15949e+07
w7,2020,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2025,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2030,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w7,2035,wind7,inside_lvliang,Wind,89.2331,0,.,4.54419e+06,2.39591e+06
w8,2020,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w8,2025,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w8,2030,wind8,inside_lvliang,Wind,0,165.47,.,8.42658e+06,0
w8,2035,wind8,inside_lvliang,Wind,165.47,0,.,8.42658e+06,4.44288e+06
w9,2020,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2025,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2030,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
w9,2035,wind9,inside_lvliang,Wind,154.389,0,.,7.86224e+06,4.14534e+06
