timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20300116,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300117,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,41.7736,0,0,0,0,0,0,0
20300118,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,213.783,0,0,0,0,0,0,0
20300119,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,277.507,0,0,0,0,0,0,0
20300120,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,342.553,0,0,0,0,0,0,0
20300121,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,489.682,0,0,0,0,0,0,0
20300122,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,386.575,0,0,0,0,0,0,0
20300123,0,0,485.76,485.76,0,57.8659,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,398.513,0,0,0,0,0,0,0
20350100,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,0,1353.33,0,0,0,0,0,0
20350101,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,445.248,889.649,0,0,0,0,0,0
20350102,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,1305.69,0,0,0,0,0,0,0
20350103,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,644.193,0,627.291,0,0,0,0,0,0
20350104,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,322.097,919.983,0,0,0,0,0,0,0
20350105,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,0,815.69,0,0,0,0,0,429.134
20350106,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,143.244,0,1156.56,0,0,0,0,0,0
20350107,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,286.489,0,955.76,0,0,0,0,0,0
20350108,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,429.733,0,976.016,0,0,0,0,0,0
20350109,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,475.185,0,965.564,0,0,0,0,0,0
20350110,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,520.637,0,832.686,0,0,0,0,0,0
20350111,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,566.089,0,0,0,0,0,0,0,773.705
20350112,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,799.173,0,0,0,0,0,0,0,388.197
20350113,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,1032.26,0,212.07,0,0,0,0,0,0
20350114,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,1220.51,0,0,0,0,0,0,0,0
20350115,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,925.214,323.613,0,0,0,0,0,0,0
20350116,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,585.086,0,719.213,0,0,0,0,0,0
20350117,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,244.958,307.198,541.846,0,0,0,0,0,71.8138
20350118,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,163.305,199.05,1333.49,0,0,0,0,0,0
20350119,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,81.6526,1660.08,0,0,0,0,0,0,0
20350120,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,0,976.018,0,0,0,0,0,546.782
20350121,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,349.957,659.736,0,0,0,0,0,0,586.188
20350122,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,699.914,75.6638,0,0,0,0,0,0,625.593
20350123,0,0,0,0,0,0,283.36,283.36,242.88,242.88,172.371,0,0,0,0,0,0,0,0,0,0,1397.51,0,0,0,0,0,0,0
