GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G106347,88,Coal,0.0
G106347,89,Coal,0.0
G106347,90,Coal,0.0
G106347,91,Coal,0.0
G106347,92,Coal,0.0
G106347,93,Coal,0.0
G106347,94,Coal,0.0
G106347,95,Coal,0.0
G106347,96,Coal,0.0
G106348,1,Coal,0.0
G106348,2,Coal,0.0
G106348,3,Coal,0.0
G106348,4,Coal,0.0
G106348,5,Coal,0.0
G106348,6,Coal,0.0
G106348,7,Coal,0.0
G106348,8,Coal,0.0
G106348,9,Coal,0.0
G106348,10,Coal,0.0
G106348,11,Coal,0.0
G106348,12,Coal,0.0
G106348,13,Coal,0.0
G106348,14,Coal,0.0
G106348,15,Coal,0.0
G106348,16,Coal,0.0
G106348,17,Coal,0.0
G106348,18,Coal,0.0
G106348,19,Coal,0.0
G106348,20,Coal,0.0
G106348,21,Coal,0.0
G106348,22,Coal,0.0
G106348,23,Coal,0.0
G106348,24,Coal,0.0
G106348,25,Coal,0.0
G106348,26,Coal,0.0
G106348,27,Coal,0.0
G106348,28,Coal,0.0
G106348,29,Coal,0.0
G106348,30,Coal,0.0
G106348,31,Coal,0.0
G106348,32,Coal,0.0
G106348,33,Coal,0.0
G106348,34,Coal,0.0
G106348,35,Coal,0.0
G106348,36,Coal,0.0
G106348,37,Coal,0.0
G106348,38,Coal,0.0
G106348,39,Coal,0.0
G106348,40,Coal,0.0
G106348,41,Coal,0.0
G106348,42,Coal,0.0
G106348,43,Coal,0.0
G106348,44,Coal,0.0
G106348,45,Coal,0.0
G106348,46,Coal,0.0
G106348,47,Coal,0.0
G106348,48,Coal,0.0
G106348,49,Coal,0.0
G106348,50,Coal,0.0
G106348,51,Coal,0.0
G106348,52,Coal,0.0
G106348,53,Coal,0.0
G106348,54,Coal,0.0
G106348,55,Coal,0.0
G106348,56,Coal,0.0
G106348,57,Coal,0.0
G106348,58,Coal,0.0
G106348,59,Coal,0.0
G106348,60,Coal,0.0
G106348,61,Coal,0.0
G106348,62,Coal,0.0
G106348,63,Coal,0.0
G106348,64,Coal,0.0
G106348,65,Coal,0.0
G106348,66,Coal,0.0
G106348,67,Coal,0.0
G106348,68,Coal,0.0
G106348,69,Coal,0.0
G106348,70,Coal,0.0
G106348,71,Coal,0.0
G106348,72,Coal,0.0
G106348,73,Coal,0.0
G106348,74,Coal,0.0
G106348,75,Coal,0.0
G106348,76,Coal,0.0
G106348,77,Coal,0.0
G106348,78,Coal,0.0
G106348,79,Coal,0.0
G106348,80,Coal,0.0
G106348,81,Coal,0.0
G106348,82,Coal,0.0
G106348,83,Coal,0.0
G106348,84,Coal,0.0
G106348,85,Coal,0.0
G106348,86,Coal,0.0
G106348,87,Coal,0.0
G106348,88,Coal,0.0
G106348,89,Coal,0.0
G106348,90,Coal,0.0
G106348,91,Coal,0.0
G106348,92,Coal,0.0
G106348,93,Coal,0.0
G106348,94,Coal,0.0
G106348,95,Coal,0.0
G106348,96,Coal,0.0
G106349,1,Coal,554.2977462590214
G106349,2,Coal,554.2977462590214
G106349,3,Coal,554.2977462590214
G106349,4,Coal,554.2977462590214
G106349,5,Coal,554.2977462590214
G106349,6,Coal,554.2977462590214
G106349,7,Coal,554.2977462590214
G106349,8,Coal,554.2977462590214
G106349,9,Coal,554.2977462590214
G106349,10,Coal,554.2977462590214
G106349,11,Coal,554.2977462590214
G106349,12,Coal,554.2977462590214
G106349,13,Coal,554.2977462590214
G106349,14,Coal,554.2977462590214
G106349,15,Coal,554.2977462590214
G106349,16,Coal,554.2977462590214
G106349,17,Coal,554.2977462590214
G106349,18,Coal,554.2977462590214
G106349,19,Coal,554.2977462590214
G106349,20,Coal,554.2977462590214
G106349,21,Coal,554.2977462590214
G106349,22,Coal,554.2977462590214
G106349,23,Coal,554.2977462590214
G106349,24,Coal,554.2977462590214
G106349,25,Coal,554.2977462590271
G106349,26,Coal,554.2977462590271
G106349,27,Coal,554.2977462590271
G106349,28,Coal,554.2977462590271
G106349,29,Coal,554.2977462590271
G106349,30,Coal,554.2977462590271
G106349,31,Coal,554.2977462590271
G106349,32,Coal,554.2977462590271
G106349,33,Coal,554.2977462590271
G106349,34,Coal,554.2977462590271
G106349,35,Coal,554.2977462590271
G106349,36,Coal,554.2977462590271
G106349,37,Coal,554.2977462590271
G106349,38,Coal,554.2977462590271
G106349,39,Coal,554.2977462590271
G106349,40,Coal,554.2977462590271
G106349,41,Coal,554.2977462590271
G106349,42,Coal,554.2977462590271
G106349,43,Coal,554.2977462590271
G106349,44,Coal,554.2977462590271
G106349,45,Coal,554.2977462590271
G106349,46,Coal,554.2977462590271
G106349,47,Coal,554.2977462590271
G106349,48,Coal,554.2977462590271
G106349,49,Coal,554.2977462590272
G106349,50,Coal,554.2977462590272
G106349,51,Coal,554.2977462590272
G106349,52,Coal,554.2977462590272
G106349,53,Coal,554.2977462590272
G106349,54,Coal,554.2977462590272
G106349,55,Coal,554.2977462590272
G106349,56,Coal,554.2977462590272
G106349,57,Coal,554.2977462590272
G106349,58,Coal,554.2977462590272
G106349,59,Coal,554.2977462590272
G106349,60,Coal,554.2977462590272
G106349,61,Coal,554.2977462590272
G106349,62,Coal,554.2977462590272
G106349,63,Coal,554.2977462590272
G106349,64,Coal,554.2977462590272
G106349,65,Coal,554.2977462590272
G106349,66,Coal,554.2977462590272
G106349,67,Coal,554.2977462590272
G106349,68,Coal,554.2977462590272
G106349,69,Coal,554.2977462590272
G106349,70,Coal,554.2977462590272
G106349,71,Coal,554.2977462590272
G106349,72,Coal,554.2977462590272
G106349,73,Coal,0.0
G106349,74,Coal,0.0
G106349,75,Coal,0.0
G106349,76,Coal,0.0
G106349,77,Coal,0.0
G106349,78,Coal,0.0
G106349,79,Coal,0.0
G106349,80,Coal,0.0
G106349,81,Coal,0.0
G106349,82,Coal,0.0
G106349,83,Coal,0.0
G106349,84,Coal,0.0
G106349,85,Coal,0.0
G106349,86,Coal,0.0
G106349,87,Coal,0.0
G106349,88,Coal,0.0
G106349,89,Coal,0.0
G106349,90,Coal,0.0
G106349,91,Coal,0.0
G106349,92,Coal,0.0
G106349,93,Coal,0.0
G106349,94,Coal,0.0
G106349,95,Coal,0.0
G106349,96,Coal,0.0
G106470,1,Coal,2623.34688
G106470,2,Coal,2623.34688
G106470,3,Coal,2623.34688
G106470,4,Coal,2623.34688
G106470,5,Coal,2623.34688
G106470,6,Coal,2623.34688
G106470,7,Coal,2623.34688
G106470,8,Coal,2623.34688
G106470,9,Coal,2623.34688
G106470,10,Coal,2623.34688
G106470,11,Coal,2623.34688
G106470,12,Coal,2623.34688
G106470,13,Coal,2623.34688
G106470,14,Coal,2623.34688
G106470,15,Coal,2623.34688
G106470,16,Coal,2623.34688
G106470,17,Coal,2623.34688
G106470,18,Coal,2623.34688
G106470,19,Coal,2623.34688
G106470,20,Coal,2623.34688
G106470,21,Coal,2623.34688
G106470,22,Coal,2623.34688
G106470,23,Coal,2623.34688
G106470,24,Coal,2623.34688
G106470,25,Coal,2623.34688
