GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
w6,2020,wind6,inside_lvliang,Wind,0,0,0,0
w6,2025,wind6,inside_lvliang,Wind,0,0,0,0
w6,2030,wind6,inside_lvliang,Wind,804.28,0,4.09579e+07,2.15949e+07
w6,2035,wind6,inside_lvliang,Wind,804.28,0,4.09579e+07,2.15949e+07
w7,2020,wind7,inside_lvliang,Wind,0,0,0,0
w7,2025,wind7,inside_lvliang,Wind,0,0,0,0
w7,2030,wind7,inside_lvliang,Wind,0,0,0,0
w7,2035,wind7,inside_lvliang,Wind,0,0,0,0
w8,2020,wind8,inside_lvliang,Wind,0,0,0,0
w8,2025,wind8,inside_lvliang,Wind,0,0,0,0
w8,2030,wind8,inside_lvliang,Wind,0,0,0,0
w8,2035,wind8,inside_lvliang,Wind,0,0,0,0
w9,2020,wind9,inside_lvliang,Wind,0,0,0,0
w9,2025,wind9,inside_lvliang,Wind,0,0,0,0
w9,2030,wind9,inside_lvliang,Wind,0,0,0,0
w9,2035,wind9,inside_lvliang,Wind,961.115,0,4.89448e+07,2.58059e+07
