generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G114090,G114090,coal13,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1,s1,PV1,inside_lvliang,Solar,2020,314.4495118580388,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,24.028337102297623,0.1841544459836651
s1,s1,PV1,inside_lvliang,Solar,2025,204.49564757000684,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,36.9479691248259,0.1197609831282767
s1,s1,PV1,inside_lvliang,Solar,2030,148.25488929356732,0.0,0.0,151.9747181727647,4955248.824147893,2028862.4876064088,47.108809328538875,0.11128489281770684
s1,s1,PV1,inside_lvliang,Solar,2035,144.83209368009992,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,52.16867809193353,0.08481957505583333
s10,s10,PV10,inside_lvliang,Solar,2020,99.07883900003219,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,33.740696843274605,0.13114504207000002
s10,s10,PV10,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,2192430.2356441985,0.0,0.0,0.0
s10,s10,PV10,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,2192430.2356441985,0.0,0.0,0.0
s10,s10,PV10,inside_lvliang,Solar,2035,81.4873478535666,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,41.02463950957241,0.10786018256052883
s11,s11,PV11,inside_lvliang,Solar,2020,0.14612821333688011,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,29.77210830407097,0.14862652862166667
s11,s11,PV11,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,2853.214947845983,0.0,0.0,0.0
s11,s11,PV11,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,2853.214947845983,0.0,0.0,0.0
s11,s11,PV11,inside_lvliang,Solar,2035,0.10650557900047777,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,40.84804791048989,0.10832647662083335
s2,s2,PV2,inside_lvliang,Solar,2020,0.15827329110003396,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,27.200531333806165,0.16267789230583332
s2,s2,PV2,inside_lvliang,Solar,2025,0.10783701386538906,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,39.922448327854255,0.11083801951833334
s2,s2,PV2,inside_lvliang,Solar,2030,0.15123078666528086,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,28.467203727503023,0.15543940140166668
s2,s2,PV2,inside_lvliang,Solar,2035,1.0820668803499003,0.0,0.0,1.1088,28206.645099280846,14802.48,39.74719666622944,0.11132672183499998
s3,s3,PV3,inside_lvliang,Solar,2020,516.4920207504467,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,26.205688323327067,0.16885361118500003
s3,s3,PV3,inside_lvliang,Solar,2025,312.6905215256174,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,43.28570258936587,0.10222602019331549
s3,s3,PV3,inside_lvliang,Solar,2030,446.4215676839837,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,30.318940429985815,0.14594590194207635
s3,s3,PV3,inside_lvliang,Solar,2035,517.2997287342757,0.0,0.0,539.4613116240319,13723298.847196624,7201808.510180825,40.45064436545677,0.10939071988581404
s4,s4,PV4,inside_lvliang,Solar,2020,84.68926687919331,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,29.524958727634615,0.14987066189666667
s4,s4,PV4,inside_lvliang,Solar,2025,80.33130584977084,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,31.126683213116827,0.14215858068416667
s4,s4,PV4,inside_lvliang,Solar,2030,62.01191208122388,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,40.322044996882255,0.1097396004425
s4,s4,PV4,inside_lvliang,Solar,2035,753.6887486635737,0.0,0.0,644.0,16382647.406147968,8597400.0,33.143718080496896,0.13350720327259147
s5,s5,PV5,inside_lvliang,Solar,2020,215.21591917483337,0.0,0.0,191.9875282,4883950.280867221,2563033.50147,34.6023835545714,0.12787919942
s5,s5,PV5,inside_lvliang,Solar,2025,44.71319852942338,0.0,0.0,60.11405404272429,4883950.280867221,802522.6214703693,127.17660756466853,0.08485125188166667
