load_zone,timestamp,component,injects_or_withdraws,value
inside_lvliang,41,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,41,zone_demand_mw,withdraws,-2395.105275
inside_lvliang,42,InjectIntoDistributedGrid,injects,2603.009954
inside_lvliang,42,RecoveryDemand,withdraws,-0.0
inside_lvliang,42,ShiftDemand,withdraws,-0.0
inside_lvliang,42,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,42,zone_demand_mw,withdraws,-2603.009954
inside_lvliang,43,InjectIntoDistributedGrid,injects,2765.9028060000005
inside_lvliang,43,RecoveryDemand,withdraws,-0.0
inside_lvliang,43,ShiftDemand,withdraws,-0.0
inside_lvliang,43,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,43,zone_demand_mw,withdraws,-2765.902806
inside_lvliang,44,InjectIntoDistributedGrid,injects,2733.6644955300007
inside_lvliang,44,RecoveryDemand,withdraws,-0.0
inside_lvliang,44,ShiftDemand,withdraws,75.68761547
inside_lvliang,44,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,44,zone_demand_mw,withdraws,-2809.352111
inside_lvliang,45,InjectIntoDistributedGrid,injects,2698.6443592650003
inside_lvliang,45,RecoveryDemand,withdraws,37.843807735
inside_lvliang,45,ShiftDemand,withdraws,-0.0
inside_lvliang,45,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,45,zone_demand_mw,withdraws,-2736.488167
inside_lvliang,46,InjectIntoDistributedGrid,injects,2718.946587
inside_lvliang,46,RecoveryDemand,withdraws,-0.0
inside_lvliang,46,ShiftDemand,withdraws,-0.0
inside_lvliang,46,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,46,zone_demand_mw,withdraws,-2718.946587
inside_lvliang,47,InjectIntoDistributedGrid,injects,2621.304767
inside_lvliang,47,RecoveryDemand,withdraws,-0.0
inside_lvliang,47,ShiftDemand,withdraws,-0.0
inside_lvliang,47,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,47,zone_demand_mw,withdraws,-2621.304767
inside_lvliang,48,InjectIntoDistributedGrid,injects,2483.3807260000003
inside_lvliang,48,RecoveryDemand,withdraws,-0.0
inside_lvliang,48,ShiftDemand,withdraws,-0.0
inside_lvliang,48,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,48,zone_demand_mw,withdraws,-2483.380726
inside_lvliang,49,InjectIntoDistributedGrid,injects,2441.535983
inside_lvliang,49,RecoveryDemand,withdraws,-0.0
inside_lvliang,49,ShiftDemand,withdraws,-0.0
inside_lvliang,49,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,49,zone_demand_mw,withdraws,-2441.535983
inside_lvliang,50,InjectIntoDistributedGrid,injects,2424.081988
inside_lvliang,50,RecoveryDemand,withdraws,-0.0
inside_lvliang,50,ShiftDemand,withdraws,-0.0
inside_lvliang,50,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,50,zone_demand_mw,withdraws,-2424.081988
inside_lvliang,51,InjectIntoDistributedGrid,injects,2396.420806
inside_lvliang,51,RecoveryDemand,withdraws,-0.0
inside_lvliang,51,ShiftDemand,withdraws,-0.0
inside_lvliang,51,ZoneTotalDistributedDispatch,injects,0.0
