GEN_TPS_1,GEN_TPS_2,DispatchGen
G106471,29,283.36
G106471,30,283.36
G106471,31,283.36
G106471,32,283.36
G106471,33,283.36
G106471,34,283.36
G106471,35,283.36
G106471,36,283.36
G106471,37,283.36
G106471,38,283.36
G106471,39,283.36
G106471,40,283.36
G106471,41,283.36
G106471,42,283.36
G106471,43,283.36
G106471,44,283.36
G106471,45,283.36
G106471,46,283.36
G106471,47,283.36
G106471,48,283.36
G106471,49,283.36
G106471,50,283.36
G106471,51,283.36
G106471,52,283.36
G106471,53,283.36
G106471,54,283.36
G106471,55,283.36
G106471,56,283.36
G106471,57,283.36
G106471,58,283.36
G106471,59,283.36
G106471,60,283.36
G106471,61,283.36
G106471,62,283.36
G106471,63,283.36
G106471,64,283.36
G106471,65,283.36
G106471,66,283.36
G106471,67,283.36
G106471,68,283.36
G106471,69,283.36
G106471,70,283.36
G106471,71,283.36
G106471,72,283.36
G106471,73,283.36
G106471,74,283.36
G106471,75,283.36
G106471,76,283.36
G106471,77,283.36
G106471,78,283.36
G106471,79,283.36
G106471,80,283.36
G106471,81,283.36
G106471,82,283.36
G106471,83,283.36
G106471,84,283.36
G106471,85,283.36
G106471,86,283.36
G106471,87,283.36
G106471,88,283.36
G106471,89,283.36
G106471,90,283.36
G106471,91,283.36
G106471,92,283.36
G106471,93,283.36
G106471,94,283.36
G106471,95,283.36
G106471,96,283.36
G109041,1,242.88
G109041,2,242.88
G109041,3,242.88
G109041,4,242.88
G109041,5,242.88
G109041,6,242.88
G109041,7,242.88
G109041,8,242.88
G109041,9,242.88
G109041,10,242.88
G109041,11,242.88
G109041,12,242.88
G109041,13,242.88
G109041,14,242.88
G109041,15,242.88
G109041,16,242.88
G109041,17,242.88
G109041,18,242.88
G109041,19,242.88
G109041,20,242.88
G109041,21,242.88
G109041,22,242.88
G109041,23,242.88
G109041,24,242.88
G109041,25,242.88000000000002
G109041,26,242.88000000000002
G109041,27,242.88000000000002
G109041,28,242.88000000000002
G109041,29,242.88000000000002
G109041,30,242.88000000000002
G109041,31,242.88000000000002
G109041,32,242.88000000000002
G109041,33,242.88000000000002
G109041,34,242.88000000000002
G109041,35,242.88000000000002
G109041,36,242.88000000000002
G109041,37,242.88000000000002
G109041,38,242.88000000000002
G109041,39,242.88000000000002
G109041,40,242.88000000000002
G109041,41,242.88000000000002
G109041,42,242.88000000000002
G109041,43,242.88000000000002
G109041,44,242.88000000000002
G109041,45,242.88000000000002
G109041,46,242.88000000000002
G109041,47,242.88000000000002
G109041,48,242.88000000000002
G109041,49,242.88
G109041,50,242.88
G109041,51,242.88
G109041,52,242.88
G109041,53,242.88
G109041,54,242.88
G109041,55,242.88
G109041,56,242.88
G109041,57,242.88
G109041,58,242.88
G109041,59,242.88
G109041,60,242.88
G109041,61,242.88
G109041,62,242.88
G109041,63,242.88
G109041,64,242.88
G109041,65,242.88
G109041,66,242.88
G109041,67,242.88
G109041,68,242.88
G109041,69,242.88
G109041,70,242.88
G109041,71,242.88
G109041,72,242.88
G109041,73,242.88
G109041,74,242.88
G109041,75,242.88
G109041,76,242.88
G109041,77,242.88
G109041,78,242.88
G109041,79,242.88
G109041,80,242.88
G109041,81,242.88
G109041,82,242.88
G109041,83,242.88
G109041,84,242.88
G109041,85,242.88
G109041,86,242.88
G109041,87,242.88
G109041,88,242.88
G109041,89,242.88
G109041,90,242.88
G109041,91,242.88
G109041,92,242.88
G109041,93,242.88
G109041,94,242.88
G109041,95,242.88
G109041,96,242.88
G109042,1,242.88
G109042,2,242.88
G109042,3,242.88
G109042,4,242.88
G109042,5,242.88
G109042,6,242.88
G109042,7,242.88
G109042,8,242.88
G109042,9,242.88
G109042,10,242.88
G109042,11,242.88
G109042,12,242.88
G109042,13,242.88
G109042,14,242.88
G109042,15,242.88
G109042,16,242.88
G109042,17,242.88
G109042,18,242.88
G109042,19,242.88
G109042,20,242.88
G109042,21,242.88
G109042,22,242.88
G109042,23,242.88
G109042,24,242.88
G109042,25,242.88000000000002
G109042,26,242.88000000000002
G109042,27,242.88000000000002
G109042,28,242.88000000000002
G109042,29,242.88000000000002
G109042,30,242.88000000000002
G109042,31,242.88000000000002
G109042,32,242.88000000000002
G109042,33,242.88000000000002
G109042,34,242.88000000000002
G109042,35,242.88000000000002
G109042,36,242.88000000000002
G109042,37,242.88000000000002
G109042,38,242.88000000000002
G109042,39,242.88000000000002
G109042,40,242.88000000000002
G109042,41,242.88000000000002
G109042,42,242.88000000000002
G109042,43,242.88000000000002
G109042,44,242.88000000000002
G109042,45,242.88000000000002
G109042,46,242.88000000000002
G109042,47,242.88000000000002
G109042,48,242.88000000000002
G109042,49,242.88000000000002
G109042,50,242.88000000000002
G109042,51,242.88000000000002
G109042,52,242.88000000000002
G109042,53,242.88000000000002
G109042,54,242.88000000000002
G109042,55,242.88000000000002
G109042,56,242.88000000000002
G109042,57,242.88000000000002
G109042,58,242.88000000000002
G109042,59,242.88000000000002
G109042,60,242.88000000000002
G109042,61,242.88000000000002
G109042,62,242.88000000000002
G109042,63,242.88000000000002
G109042,64,242.88000000000002
G109042,65,242.88000000000002
G109042,66,242.88000000000002
G109042,67,242.88000000000002
G109042,68,242.88000000000002
G109042,69,242.88000000000002
G109042,70,242.88000000000002
G109042,71,242.88000000000002
G109042,72,242.88000000000002
G109042,73,242.88
G109042,74,242.88
G109042,75,242.88
G109042,76,242.88
G109042,77,242.88
G109042,78,242.88
G109042,79,242.88
G109042,80,242.88
G109042,81,242.88
G109042,82,242.88
G109042,83,242.88
G109042,84,242.88
G109042,85,242.88
G109042,86,242.88
G109042,87,242.88
G109042,88,242.88
G109042,89,242.88
G109042,90,242.88
G109042,91,242.88
G109042,92,242.88
G109042,93,242.88
G109042,94,242.88
G109042,95,242.88
G109042,96,242.88
G111092,25,105.8231885226464
G111092,26,105.8231885226464
G111092,27,105.8231885226464
G111092,28,105.8231885226464
G111092,29,105.8231885226464
G111092,30,105.8231885226464
G111092,31,105.8231885226464
G111092,32,105.8231885226464
G111092,33,105.8231885226464
G111092,34,105.8231885226464
G111092,35,105.8231885226464
G111092,36,105.8231885226464
G111092,37,105.8231885226464
G111092,38,105.8231885226464
G111092,39,105.8231885226464
G111092,40,105.8231885226464
G111092,41,105.8231885226464
G111092,42,105.8231885226464
G111092,43,105.8231885226464
G111092,44,105.8231885226464
G111092,45,105.8231885226464
G111092,46,105.8231885226464
G111092,47,105.8231885226464
G111092,48,105.8231885226464
G111092,49,133.68546659413192
G111092,50,133.68546659413192
G111092,51,133.68546659413192
G111092,52,133.68546659413192
G111092,53,133.68546659413192
G111092,54,133.68546659413192
G111092,55,133.68546659413192
G111092,56,133.68546659413192
G111092,57,133.68546659413192
G111092,58,133.68546659413192
G111092,59,133.68546659413192
G111092,60,133.68546659413192
G111092,61,133.68546659413192
G111092,62,133.68546659413192
G111092,63,133.68546659413192
G111092,64,133.68546659413192
G111092,65,133.68546659413192
G111092,66,133.68546659413192
G111092,67,133.68546659413192
G111092,68,133.68546659413192
G111092,69,133.68546659413192
G111092,70,133.68546659413192
G111092,71,133.68546659413192
G111092,72,133.68546659413192
G111092,73,283.36
G111092,74,283.36
G111092,75,283.36
G111092,76,283.36
G111092,77,283.36
G111092,78,283.36
G111092,79,283.36
G111092,80,283.36
G111092,81,283.36
G111092,82,283.36
G111092,83,283.36
G111092,84,283.36
G111092,85,283.36
G111092,86,283.36
G111092,87,283.36
G111092,88,283.36
G111092,89,283.36
G111092,90,283.36
G111092,91,283.36
G111092,92,283.36
G111092,93,283.36
G111092,94,283.36
G111092,95,283.36
G111092,96,283.36
G111093,25,0.0
G111093,26,0.0
G111093,27,0.0
G111093,28,0.0
G111093,29,0.0
G111093,30,0.0
G111093,31,0.0
G111093,32,0.0
G111093,33,0.0
G111093,34,0.0
G111093,35,0.0
G111093,36,0.0
G111093,37,0.0
G111093,38,0.0
G111093,39,0.0
G111093,40,0.0
G111093,41,0.0
G111093,42,0.0
G111093,43,0.0
G111093,44,0.0
G111093,45,0.0
G111093,46,0.0
G111093,47,0.0
G111093,48,0.0
G111093,49,0.0
G111093,50,0.0
G111093,51,0.0
G111093,52,0.0
G111093,53,0.0
G111093,54,0.0
G111093,55,0.0
G111093,56,0.0
G111093,57,0.0
G111093,58,0.0
G111093,59,0.0
