Recovery_Demand_Constraint_index_1,Recovery_Demand_Constraint_index_2,Relax_Recovery_Demand_Constraint_down
inside_lvliang,76,2359.2762835050003
inside_lvliang,77,2327.38755272
inside_lvliang,78,2299.9723151149997
inside_lvliang,79,2302.531554365
inside_lvliang,80,2353.78702753
inside_lvliang,81,442.00254890840006
inside_lvliang,82,2452.566039555
inside_lvliang,83,2485.19632823
inside_lvliang,84,2403.687001715
inside_lvliang,85,2391.0736123300003
inside_lvliang,86,2403.40762326
inside_lvliang,87,2302.0693739499998
inside_lvliang,88,2279.8640138600003
inside_lvliang,89,2306.2634896550003
inside_lvliang,90,2357.9811432349998
inside_lvliang,91,1629.2606275279832
inside_lvliang,92,2723.031312505
inside_lvliang,93,2765.80715328
inside_lvliang,94,2694.07260041
inside_lvliang,95,2676.8029149
inside_lvliang,96,2580.6745431100003
outside_lvliang,1,388.95993255819553
outside_lvliang,2,367.0131917915394
outside_lvliang,3,387.05605213559534
outside_lvliang,4,402.69924034518294
outside_lvliang,5,422.5693713408484
outside_lvliang,6,285.6537844647153
outside_lvliang,7,216.6527909725362
outside_lvliang,8,150.646790002417
outside_lvliang,9,0.0
outside_lvliang,10,984.5
outside_lvliang,11,984.5
outside_lvliang,12,984.5
outside_lvliang,13,984.5
outside_lvliang,14,984.5
outside_lvliang,15,984.5
outside_lvliang,16,984.5
outside_lvliang,17,984.5
outside_lvliang,18,984.5
outside_lvliang,19,984.5
outside_lvliang,20,0.0
outside_lvliang,21,130.53199162113333
outside_lvliang,22,312.52706466150767
outside_lvliang,23,420.00968385849205
outside_lvliang,24,335.19656778532703
outside_lvliang,25,0.0
outside_lvliang,26,0.0
outside_lvliang,27,0.0
outside_lvliang,28,0.0
outside_lvliang,29,0.0
outside_lvliang,30,0.0
outside_lvliang,31,0.0
outside_lvliang,32,0.0
outside_lvliang,33,0.0
outside_lvliang,34,984.5
outside_lvliang,35,984.5
outside_lvliang,36,984.5
outside_lvliang,37,984.5
outside_lvliang,38,984.5
outside_lvliang,39,984.5
outside_lvliang,40,984.5
outside_lvliang,41,984.5
outside_lvliang,42,984.5
outside_lvliang,43,984.5
outside_lvliang,44,0.0
outside_lvliang,45,0.0
outside_lvliang,46,0.0
outside_lvliang,47,0.0
outside_lvliang,48,0.0
outside_lvliang,49,0.0
outside_lvliang,50,0.0
outside_lvliang,51,0.0
outside_lvliang,52,0.0
outside_lvliang,53,0.0
outside_lvliang,54,0.0
outside_lvliang,55,0.0
outside_lvliang,56,0.0
outside_lvliang,57,0.0
outside_lvliang,58,984.5
outside_lvliang,59,984.5
outside_lvliang,60,984.5
outside_lvliang,61,984.5
outside_lvliang,62,984.5
outside_lvliang,63,984.5
outside_lvliang,64,984.5
outside_lvliang,65,984.5
outside_lvliang,66,984.5
outside_lvliang,67,0.0
outside_lvliang,68,0.0
outside_lvliang,69,0.0
outside_lvliang,70,0.0
outside_lvliang,71,0.0
outside_lvliang,72,0.0
outside_lvliang,73,319.1368002787724
outside_lvliang,74,318.08426627752624
outside_lvliang,75,353.88926345542495
outside_lvliang,76,385.29459262217097
outside_lvliang,77,420.92686286412777
outside_lvliang,78,295.93170194674394
outside_lvliang,79,216.9489176316779
outside_lvliang,80,184.76556211931097
outside_lvliang,81,984.5
outside_lvliang,82,984.5
outside_lvliang,83,984.5
outside_lvliang,84,984.5
outside_lvliang,85,984.5
outside_lvliang,86,984.5
outside_lvliang,87,984.5
outside_lvliang,88,984.5
outside_lvliang,89,984.5
outside_lvliang,90,984.5
outside_lvliang,91,0.0
outside_lvliang,92,109.29921633080312
outside_lvliang,93,487.1511325404399
outside_lvliang,94,372.9517937985577
outside_lvliang,95,455.9971742687976
outside_lvliang,96,609.5283332235781
